"TLID","lat","lon","N","P","K","TY","Treatment","var","SoilType"
"27",8.905048246,11.07257728,68,10,19,4186,"N68,P10,K19","Sammaz 15","Sandy Loam"
"27",8.905048246,11.07257728,62,14,27,4537,"N62,P14,K27","Sammaz 15","Sandy Loam"
"27",8.905048246,11.07257728,67,20,0,3999,"N67,P20,K0","Sammaz 15","Sandy Loam"
"25",8.908363562,11.06891777,46,0,0,1996,"N46,P0,K0","Sammaz 15","Sandy Loam"
"25",8.908363562,11.06891777,68,10,19,3255,"N68,P10,K19","Sammaz 15","Sandy Loam"
"25",8.908363562,11.06891777,62,14,27,5950,"N62,P14,K27","Sammaz 15","Sandy Loam"
"25",8.908363562,11.06891777,67,20,0,6268,"N67,P20,K0","Sammaz 15","Sandy Loam"
"125",11.14962252,6.967559117,46,0,0,1412,"N46,P0,K0","Sammaz 15","Sandy Loam"
"125",11.14962252,6.967559117,68,10,19,1901,"N68,P10,K19","Sammaz 15","Sandy Loam"
"125",11.14962252,6.967559117,62,14,27,2536,"N62,P14,K27","Sammaz 15","Sandy Loam"
"125",11.14962252,6.967559117,67,20,0,2454,"N67,P20,K0","Sammaz 15","Sandy Loam"
"26",8.907120155,11.06949104,46,0,0,2071,"N46,P0,K0","Sammaz 15","Sandy Loam"
"26",8.907120155,11.06949104,68,10,19,2156,"N68,P10,K19","Sammaz 15","Sandy Loam"
"26",8.907120155,11.06949104,62,14,27,3641,"N62,P14,K27","Sammaz 15","Sandy Loam"
"26",8.907120155,11.06949104,67,20,0,4244,"N67,P20,K0","Sammaz 15","Sandy Loam"
"115",11.09954573,6.946794667,46,0,0,1497,"N46,P0,K0","Sammaz 15","Sandy Loam"
"115",11.09954573,6.946794667,68,10,19,3234,"N68,P10,K19","Sammaz 15","Sandy Loam"
"115",11.09954573,6.946794667,62,14,27,3161,"N62,P14,K27","Sammaz 15","Sandy Loam"
"115",11.09954573,6.946794667,67,20,0,3462,"N67,P20,K0","Sammaz 15","Sandy Loam"
"24",8.905617928,11.06716036,46,0,0,2047,"N46,P0,K0","Sammaz 15","Sandy Loam"
"24",8.905617928,11.06716036,68,10,19,2418,"N68,P10,K19","Sammaz 15","Sandy Loam"
"24",8.905617928,11.06716036,62,14,27,3389,"N62,P14,K27","Sammaz 15","Sandy Loam"
"24",8.905617928,11.06716036,67,20,0,4154,"N67,P20,K0","Sammaz 15","Sandy Loam"
"127",11.13308796,6.977466637,46,0,0,2929,"N46,P0,K0","Sammaz 15","Sandy Loam"
"127",11.13308796,6.977466637,68,10,19,4099,"N68,P10,K19","Sammaz 15","Sandy Loam"
"127",11.13308796,6.977466637,62,14,27,3633,"N62,P14,K27","Sammaz 15","Sandy Loam"
"127",11.13308796,6.977466637,67,20,0,3278,"N67,P20,K0","Sammaz 15","Sandy Loam"
"23",8.913378733,11.05880709,46,0,0,5116,"N46,P0,K0","Sammaz 15","Sandy Loam"
"23",8.913378733,11.05880709,68,10,19,6134,"N68,P10,K19","Sammaz 15","Sandy Loam"
"23",8.913378733,11.05880709,62,14,27,7483,"N62,P14,K27","Sammaz 15","Sandy Loam"
"23",8.913378733,11.05880709,67,20,0,6381,"N67,P20,K0","Sammaz 15","Sandy Loam"
"22",8.916982531,11.05795841,46,0,0,4841,"N46,P0,K0","Sammaz 15","Sandy Loam"
"22",8.916982531,11.05795841,68,10,19,10286,"N68,P10,K19","Sammaz 15","Sandy Loam"
"22",8.916982531,11.05795841,62,14,27,9414,"N62,P14,K27","Sammaz 15","Sandy Loam"
"22",8.916982531,11.05795841,67,20,0,9143,"N67,P20,K0","Sammaz 15","Sandy Loam"
"123",11.13388459,6.964369218,46,0,0,1241,"N46,P0,K0","Sammaz 15","Sandy Loam"
"123",11.13388459,6.964369218,68,10,19,2371,"N68,P10,K19","Sammaz 15","Sandy Loam"
"123",11.13388459,6.964369218,62,14,27,2361,"N62,P14,K27","Sammaz 15","Sandy Loam"
"123",11.13388459,6.964369218,67,20,0,2120,"N67,P20,K0","Sammaz 15","Sandy Loam"
"20",8.947989861,11.0390118,46,0,0,2231,"N46,P0,K0","Sammaz 15","Sandy Loam"
"20",8.947989861,11.0390118,68,10,19,4440,"N68,P10,K19","Sammaz 15","Sandy Loam"
"20",8.947989861,11.0390118,62,14,27,3822,"N62,P14,K27","Sammaz 15","Sandy Loam"
"20",8.947989861,11.0390118,67,20,0,2346,"N67,P20,K0","Sammaz 15","Sandy Loam"
"124",11.15049673,6.967536117,46,0,0,1390,"N46,P0,K0","Sammaz 15","Sandy Loam"
"124",11.15049673,6.967536117,68,10,19,1630,"N68,P10,K19","Sammaz 15","Sandy Loam"
"124",11.15049673,6.967536117,62,14,27,1851,"N62,P14,K27","Sammaz 15","Sandy Loam"
"124",11.15049673,6.967536117,67,20,0,1911,"N67,P20,K0","Sammaz 15","Sandy Loam"
"122",11.1511251,6.963693671,68,10,19,4478,"N68,P10,K19","Sammaz 15","Sandy Loam"
"122",11.1511251,6.963693671,62,14,27,4186,"N62,P14,K27","Sammaz 15","Sandy Loam"
"122",11.1511251,6.963693671,67,20,0,4418,"N67,P20,K0","Sammaz 15","Sandy Loam"
"117",11.08005942,6.95174416,46,0,0,856,"N46,P0,K0","Sammaz 15","Sandy Loam"
